Ищет работу на должность:,Последнее/нынешнее место работы,Последняя/нынешняя должность,Обновление резюме,Авто,Образование,Пол,Возраст,Опыт работы (месяц),Город,Готовность к переезду,Готовность к командировкам,Занятость_полная занятость,Занятость_частичная занятость,Занятость_проектная работа,Занятость_волонтерство,Занятость_стажировка,График_полный день,График_сменный график,График_гибкий график,График_удалённая работа,График_вахтовый метод,salary_value,salary_cur_name,salary_currency,date_x,date_y,exchange_rate,ЗП (руб)
Специалист по IT,"АНТ, Группа компаний (АНТ Сервис)",Инженер 2-й категории,2019-04-20,Не указано,высшее,М,39,170.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-20,,1.0,50000.0
Менеджер отдела продаж запасных частей и сервиса,"ООО ""Агро - Строительные Технологии""",Сервисный инженер,2019-04-09,Имеется собственный автомобиль,высшее,М,32,74.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,40000.0,руб.,RUB,2019-04-09,,1.0,40000.0
Руководитель проектов,"ООО ""Полимедиа-РЕГИОН""",Руководитель проектов (срочный трудовой договор на 6 месяцев),2019-04-16,Не указано,высшее,М,44,93.0,Санкт-Петербург,False,True,True,False,False,False,False,True,False,False,False,False,80000.0,руб.,RUB,2019-04-16,,1.0,80000.0
"кабельщик-спайщик,электромеханик связи",МГТС,Кабельщик-спайщик (бригадир),2019-04-11,Не указано,среднее специальное,М,40,219.0,Москва,False,True,True,False,False,False,False,True,True,False,False,True,45000.0,руб.,RUB,2019-04-11,,1.0,45000.0
Системный администратор,ОАО «КамГЭСэнергострой»,Заместитель начальника отдела IT,2019-04-26,Не указано,высшее,М,38,133.0,город-миллионник,True,True,True,True,False,False,False,True,False,True,False,False,45000.0,руб.,RUB,2019-04-26,,1.0,45000.0
Руководитель проектов,"Полимедиа, ЗАО",Руководитель проектов,2018-04-27,Не указано,высшее,М,33,111.0,Москва,True,True,True,False,False,False,False,True,False,True,False,False,160000.0,руб.,RUB,2018-04-27,,1.0,160000.0
Системный администратор,Сбербанк-Сервис,Старший инженер,2019-05-07,Имеется собственный автомобиль,неоконченное высшее,М,22,21.0,другие,True,False,True,False,False,False,False,True,False,False,False,False,35000.0,руб.,RUB,2019-05-07,,1.0,35000.0
Начальник отдела,РОСБАНК,Начальник отдела поддержки информационных систем,2019-04-15,Не указано,высшее,М,38,200.0,город-миллионник,True,True,True,False,False,False,False,True,False,False,False,False,155000.0,руб.,RUB,2019-04-15,,1.0,155000.0
Менеджер,Урало-Сибирский Институт Бизнеса,Исполнительный  директор,2019-05-07,Не указано,высшее,Ж,34,111.0,другие,True,True,True,True,False,False,False,True,False,True,False,False,80000.0,руб.,RUB,2019-05-07,,1.0,80000.0
Специалист в службу поддержки Медиасервисов Яндекса,ЧЛК,"Забайкальский государственный гуманитарно-педагогический университет им. Н.Г. Чернышевского, Чита",2019-04-17,Не указано,высшее,Ж,40,,город-миллионник,False,False,True,False,False,False,False,True,False,False,False,False,30000.0,руб.,RUB,2019-04-17,,1.0,30000.0
Системный администратор,ЗАО БАНК РУССКИЙ СТАНДАРТ,Специалист отдела информационных технологий,2019-04-20,Имеется собственный автомобиль,высшее,М,36,99.0,город-миллионник,False,True,True,False,False,False,False,True,False,False,False,False,35000.0,руб.,RUB,2019-04-20,,1.0,35000.0
Менеджер проектов,ЕВРО ПОИНТ,Заместитель руководителя операционного отдела,2019-04-26,Не указано,неоконченное высшее,М,36,79.0,Москва,False,True,True,False,False,False,False,False,False,True,False,False,50000.0,руб.,RUB,2019-04-26,,1.0,50000.0
"Специалист, инженер, руководитель группы, отдела.","Филиал ФГУП  ""ГРЧЦ"" в  Центральном федеральном округе",Начальник Отдела метрологического обеспечения,2019-04-16,Имеется собственный автомобиль,высшее,М,43,312.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,80000.0,руб.,RUB,2019-04-16,,1.0,80000.0
Оператор видеонаблюдения,ЧОП ЗАКОН,Оператор видеонаблюдения,2019-04-22,Не указано,неоконченное высшее,М,23,20.0,город-миллионник,False,False,True,False,False,False,False,True,False,False,False,False,20000.0,руб.,RUB,2019-04-22,,1.0,20000.0
Менеджер интернет-проектов,-,Частный преподаватель математики,2019-05-07,Не указано,высшее,Ж,30,128.0,Москва,False,False,True,True,True,False,False,True,False,True,False,False,60000.0,руб.,RUB,2019-05-07,,1.0,60000.0
Системный администратор,"ООО ""МКК ""Деньги Будут""",Системный администратор,2019-04-12,Не указано,высшее,М,31,105.0,Санкт-Петербург,False,True,True,True,False,False,False,True,True,True,False,False,70000.0,руб.,RUB,2019-04-12,,1.0,70000.0
"Начальник ИТ-отдела, руководитель проекта, CTO, CIO, Директор по IT","ООО ""Крона""",Менеджер по информационным технологиям,2019-05-07,Имеется собственный автомобиль,высшее,М,46,296.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,100000.0,руб.,RUB,2019-05-07,,1.0,100000.0
"Программист, Инженер-системотехник, Водитель, Монтажник, Сборщик мебели","ТОО ""Идальго Актау"" Мебельный салон ""Prestige""",сборщик мебели,2019-04-26,Не указано,высшее,М,32,130.0,другие,False,True,True,False,False,False,False,True,False,True,False,True,217000.0,KZT,KZT,2019-04-26,2019-04-26,0.170151,36922.767
Аналитик - разработчик,"Подружка, сеть магазинов",Аналитик-разработчик,2019-04-17,Не указано,высшее,М,27,79.0,Москва,True,True,True,True,False,False,False,True,False,False,False,False,250000.0,руб.,RUB,2019-04-17,,1.0,250000.0
Менеджер ИТ-проектов,"Московский индустриальный Банк, ПАО",Руководитель направления отдела стратегических проектов и технологий (ЦО),2019-04-22,Не указано,высшее,М,26,66.0,Москва,False,True,True,True,False,False,False,True,True,True,False,False,120000.0,руб.,RUB,2019-04-22,,1.0,120000.0
